代码,名称,交易所,板块,行业,地域板块,概念题材,最新价,涨跌幅,成交额,振幅,最高,昨收,最低,今开,量比,换手率
600378,昊华科技,上交所,沪市主板,化学制品,四川板块,"军工,成渝特区,西部大开发,燃料电池概念,央国企改革,氟化工概念,航母概念,大飞机,氢能源,中芯概念,碳交易,工业气体,PVDF概念,液冷概念,电池技术",35.24,5.83,727832703.0,8.89,35.58,33.3,32.62,32.9,1.18,1.99
600426,华鲁恒升,上交所,沪市主板,农化制品,山东板块,"煤化工概念,化工原料,锂电池概念,央国企改革,电池技术",34.5,-1.4,873391372.0,2.52,35.18,34.99,34.3,34.98,0.82,1.19
600456,宝钛股份,上交所,沪市主板,小金属,陕西板块,"军工,稀缺资源,新材料,西部大开发,3D打印,苹果概念,央国企改革,小金属概念,航母概念,大飞机,商业航天",35.88,0.9,364313481.0,2.76,36.16,35.56,35.18,35.2,0.87,2.12
600460,士兰微,上交所,沪市主板,半导体,浙江板块,"LED概念,长江三角,智能穿戴,OLED,国产芯片,氮化镓,半导体概念,第三代半导体,碳化硅,IGBT概念,消费电子概念",31.51,4.3,2838179331.0,7.75,31.79,30.21,29.45,29.7,1.44,5.53
600520,三佳科技,上交所,沪市主板,专用设备,安徽板块,"央国企改革,国产芯片,半导体概念,机器人概念,先进封装",31.24,1.2,322578286.0,5.28,31.66,30.87,30.03,30.41,0.95,6.62
600547,山东黄金,上交所,沪市主板,贵金属,山东板块,"稀缺资源,黄金概念,央国企改革,贬值受益",34.75,-0.23,1597259866.0,2.41,35.18,34.83,34.34,34.83,0.63,1.27
600593,大连圣亚,上交所,沪市主板,旅游及景区,辽宁板块,"旅游酒店,参股银行,央国企改革,旅游概念,东北振兴,谷子经济,冰雪经济,文娱消费",36.69,5.8,280495735.0,8.33,37.5,34.68,34.61,34.85,2.28,6.03
600605,汇通能源,上交所,沪市主板,一般零售,上海板块,"长江三角,半导体概念",33.81,0.45,261070275.0,6.09,35.18,33.66,33.13,33.33,1.11,3.72
600612,老凤祥,上交所,沪市主板,饰品,上海板块,"参股券商,参股银行,黄金概念,长江三角,沪企改革,央国企改革",38.53,0.03,32593805.0,0.88,38.68,38.52,38.34,38.52,0.58,0.27
600673,东阳光,上交所,沪市主板,综合Ⅱ,广东板块,"新材料,成渝特区,锂电池概念,氟化工概念,华为概念,数据中心,储能概念,PVDF概念,东数西算,机器人概念,液冷概念,锂矿概念,人形机器人,电池技术",39.28,4.89,5260159808.0,5.34,39.35,37.45,37.35,37.35,1.3,4.54
600685,中船防务,上交所,沪市主板,航海装备Ⅱ,广东板块,"军工,参股银行,海工装备,央国企改革,船舶制造",32.57,3.5,840510939.0,3.78,32.58,31.47,31.39,31.45,1.16,3.18
600699,均胜电子,上交所,沪市主板,汽车零部件,浙江板块,"特斯拉概念,充电桩,无人驾驶,华为概念,新能源车,车联网(车路云),无线充电,华为汽车,激光雷达,光通信模块,高压快充,小米汽车,英伟达概念,人形机器人",30.0,5.86,2398741970.0,7.87,30.28,28.34,28.05,28.31,1.41,6.01
600779,水井坊,上交所,沪市主板,白酒Ⅱ,四川板块,"酿酒概念,创投,成渝特区,西部大开发,白酒,社区团购,味蕾经济",32.16,-0.89,74839953.0,1.45,32.55,32.45,32.08,32.5,0.87,0.48
600885,宏发股份,上交所,沪市主板,电网设备,湖北板块,"新能源,新材料,光伏概念,特斯拉概念,一带一路,新能源车,数据中心",32.67,1.21,483181940.0,2.63,32.9,32.28,32.05,32.28,0.5,0.96
600895,张江高科,上交所,沪市主板,房地产开发,上海板块,"创投,参股券商,上海自贸,沪企改革,央国企改革,阿里概念,人工智能,租售同权,独角兽,光刻机(胶),国产芯片,新能源车,半导体概念,蚂蚁概念,REITs概念",37.15,-1.33,1423682330.0,2.84,37.5,37.65,36.43,37.25,1.26,2.49
600938,中国海油,上交所,沪市主板,油气开采Ⅱ,,"新能源,风能,油气设服,央国企改革,天然气,绿色电力,油气资源",36.21,0.06,1230969812.0,1.74,36.75,36.19,36.12,36.22,0.63,1.13
600976,健民集团,上交所,沪市主板,中药Ⅱ,湖北板块,"中药概念,独家药品,流感,特色药",31.67,0.16,46108134.0,1.52,31.74,31.62,31.26,31.62,0.68,0.95
601069,西部黄金,上交所,沪市主板,贵金属,新疆板块,"黄金概念,西部大开发,央国企改革,小金属概念,贬值受益",33.26,-1.71,520814737.0,4.05,34.32,33.84,32.95,33.94,0.59,1.76
601168,西部矿业,上交所,沪市主板,工业金属,青海板块,"稀缺资源,新材料,黄金概念,西部大开发,央国企改革,小金属概念,钒电池,锂矿概念,电池技术",33.62,0.6,2499365502.0,4.31,34.79,33.42,33.35,34.2,0.96,3.1
601601,中国太保,上交所,沪市主板,保险Ⅱ,上海板块,"长江三角,养老概念,蚂蚁概念",35.74,-3.98,3404301699.0,5.64,37.3,37.22,35.2,37.25,1.69,1.39
601606,长城军工,上交所,沪市主板,地面兵装Ⅱ,安徽板块,"军工,央国企改革,军民融合,新能源车",39.6,-3.13,1016958607.0,1.83,39.93,40.88,39.18,39.89,1.24,3.56
601628,中国人寿,上交所,沪市主板,保险Ⅱ,北京板块,"参股期货,参股银行,央国企改革,蚂蚁概念",36.48,-2.88,2156182344.0,4.21,37.56,37.56,35.98,37.56,1.14,0.28
601698,中国卫通,上交所,沪市主板,航天装备Ⅱ,北京板块,"北斗导航,央国企改革,一带一路,卫星互联网,商业航天,低空经济",38.39,0.34,2235265975.0,2.3,38.64,38.26,37.76,38.24,0.6,1.38
601877,正泰电器,上交所,沪市主板,电网设备,浙江板块,"智能电网,光伏概念,长江三角,石墨烯,特斯拉概念,储能概念,电网概念",34.6,4.56,2053083753.0,5.74,34.67,33.09,32.77,32.95,1.82,2.8
601899,紫金矿业,上交所,沪市主板,工业金属,福建板块,"稀缺资源,黄金概念,央国企改革,小金属概念,一带一路,贬值受益,锂矿概念",34.66,0.23,11214811350.0,2.31,35.25,34.58,34.45,35.1,0.92,1.57
601995,中金公司,上交所,沪市主板,证券Ⅱ,北京板块,"互联网金融,券商概念,并购重组概念",34.78,0.14,539262698.0,0.95,34.79,34.73,34.46,34.6,0.79,0.53
603005,晶方科技,上交所,沪市主板,半导体,江苏板块,"5G概念,增强现实,华为概念,光刻机(胶),国产芯片,3D摄像头,传感器,氮化镓,半导体概念,第三代半导体,汽车芯片,生物识别,先进封装,高带宽内存,玻璃基板,通信技术",33.66,3.99,1823125087.0,6.49,33.8,32.37,31.7,31.91,1.16,8.46
603014,威高血净,上交所,沪市主板,医疗器械,山东板块,"次新股,医疗器械概念",35.65,-0.28,25090018.0,1.29,35.82,35.75,35.36,35.7,0.72,1.79
603059,倍加洁,上交所,沪市主板,个护用品,江苏板块,"参股银行,跨境电商",31.58,0.25,56875038.0,3.4,31.72,31.5,30.65,31.63,0.87,1.81
603068,博通集成,上交所,沪市主板,半导体,上海板块,"物联网,北斗导航,上海自贸,阿里概念,无人机,无人驾驶,小米概念,华为概念,ETC,国产芯片,无线耳机,WiFi,半导体概念,汽车芯片,消费电子概念,通信技术",37.23,1.55,147978157.0,3.68,37.36,36.66,36.01,36.21,0.85,2.65
603072,天和磁材,上交所,沪市主板,金属新材料,内蒙古,"新材料,稀土永磁,小金属概念,机器人概念",38.71,1.18,104305120.0,2.4,38.74,38.26,37.82,37.96,0.65,2.14
603082,北自科技,上交所,沪市主板,自动化设备,北京板块,"军工,央国企改革,国产软件,数字孪生,机器人概念,新型工业化,人形机器人",34.95,-0.09,26928102.0,1.66,35.08,34.98,34.5,34.5,0.52,1.9
603099,长白山,上交所,沪市主板,旅游及景区,吉林板块,"旅游酒店,央国企改革,冰雪经济",37.85,1.99,317574160.0,4.12,38.33,37.11,36.8,37.25,1.28,3.1
603127,昭衍新药,上交所,沪市主板,医疗服务,北京板块,"生物疫苗,CRO,创新药,创新医疗服务",39.48,0.71,1231799886.0,6.81,40.0,39.2,37.33,39.1,0.86,5.0
603173,福斯达,上交所,沪市主板,专用设备,浙江板块,"天然气,油气资源",38.6,0.6,54187940.0,2.87,38.87,38.37,37.77,38.5,0.86,0.88
603194,中力股份,上交所,沪市主板,工程机械,浙江板块,"新能源车,工程机械概念,机器人概念",37.02,0.14,40675165.0,1.33,37.2,36.97,36.71,36.71,0.46,0.7
603197,保隆科技,上交所,沪市主板,汽车零部件,上海板块,"特斯拉概念,无人驾驶,胎压监测,新能源车,传感器,华为汽车,毫米波概念,小米汽车,低空经济",34.8,0.43,56912427.0,2.02,35.06,34.65,34.36,34.5,0.68,0.78
603198,迎驾贡酒,上交所,沪市主板,白酒Ⅱ,安徽板块,"酿酒概念,白酒,味蕾经济",35.41,-3.01,248605451.0,4.49,36.64,36.51,35.0,36.2,0.99,0.87
603199,九华旅游,上交所,沪市主板,旅游及景区,安徽板块,"旅游酒店,电商概念,央国企改革,旅游概念,文娱消费",35.35,0.0,60471230.0,0.71,35.5,35.35,35.25,35.44,0.73,1.55
603211,晋拓股份,上交所,沪市主板,汽车零部件,上海板块,"特斯拉概念,智能家居,无人驾驶,机器人概念,毫米波概念",30.73,-0.52,659425028.0,5.54,31.3,30.89,29.59,30.93,2.17,7.91
603216,梦天家居,上交所,沪市主板,家居用品,浙江板块,工业互联,31.97,10.01,247495132.0,9.33,31.97,29.06,29.26,29.5,1.91,3.59
603220,中贝通信,上交所,沪市主板,通信服务,湖北板块,"物联网,锂电池概念,一带一路,5G概念,6G概念,储能概念,激光雷达,F5G概念,CPO概念,算力概念,DeepSeek概念,电池技术,通信技术",31.35,4.74,1599944800.0,8.32,31.96,29.93,29.47,29.75,0.98,11.86
603255,鼎际得,上交所,沪市主板,化学制品,辽宁板块,,32.68,-1.03,48288735.0,2.48,33.47,33.02,32.65,33.3,0.65,2.41
603261,*ST立航,上交所,沪市主板,航空装备Ⅱ,四川板块,"航天航空,军工,西部大开发,无人机,机器人概念,可控核聚变,低空经济",38.08,4.99,28699667.0,5.6,38.08,36.27,36.05,36.06,1.0,1.0
603272,*ST联翔,上交所,沪市主板,家居用品,浙江板块,,30.22,5.0,43632356.0,2.47,30.22,28.78,29.51,30.22,0.16,1.4
603280,南方路机,上交所,沪市主板,工程机械,福建板块,"物联网,核能核电,一带一路,人工智能,工程机械概念,中俄贸易概念,机器人概念,跨境电商,DeepSeek概念",33.33,-0.8,41842623.0,2.38,33.8,33.6,33.0,33.8,0.72,1.16
603281,江瀚新材,上交所,沪市主板,化学制品,湖北板块,有机硅概念,37.4,-0.95,170607415.0,2.83,38.06,37.76,36.99,37.54,0.66,1.22
603288,海天味业,上交所,沪市主板,调味发酵品Ⅱ,广东板块,"超级品牌,调味品概念,味蕾经济",37.74,-0.26,500604603.0,1.96,38.23,37.84,37.49,37.72,0.67,0.24
603312,西典新能,上交所,沪市主板,电网设备,江苏板块,"新能源,锂电池概念,光伏概念,铁路基建,特斯拉概念,新能源车,华为汽车,储能概念,电池技术",39.63,2.24,66383676.0,5.52,40.55,38.76,38.41,38.73,0.93,3.28
603319,美湖股份,上交所,沪市主板,汽车零部件,湖南板块,"特斯拉概念,无人驾驶,华为概念,新能源车,激光雷达,汽车热管理,机器人概念,PEEK材料概念,飞行汽车(eVTOL),低空经济,人形机器人",33.44,-5.4,1065883682.0,5.77,35.35,35.35,33.31,34.99,0.94,9.29
603322,超讯通信,上交所,沪市主板,通信服务,广东板块,"物联网,移动支付,智慧城市,充电桩,5G概念,人工智能,华为概念,边缘计算,国产芯片,数据中心,智慧灯杆,AIGC概念,算力概念,数据要素,多模态AI,DeepSeek概念,AI应用,通信技术",37.35,4.42,422799574.0,6.4,37.59,35.77,35.3,35.5,1.16,7.29
603350,安乃达,上交所,沪市主板,电机Ⅱ,上海板块,"传感器,机器人概念,轮毂电机",35.79,0.39,26699329.0,1.26,35.85,35.65,35.4,35.65,0.58,1.7
603352,至信股份,上交所,沪市主板,汽车零部件,重庆板块,"次新股,新能源车,机器人概念",36.25,0.14,53741315.0,1.13,36.28,36.2,35.87,36.2,0.78,3.35
603355,莱克电气,上交所,沪市主板,小家电,江苏板块,"智能家居,新能源车,网红经济",32.97,-3.99,172750732.0,5.59,34.42,34.34,32.5,34.25,1.29,0.91
603358,华达科技,上交所,沪市主板,汽车零部件,江苏板块,"特斯拉概念,胎压监测,新能源车,中芯概念",35.78,0.22,479921970.0,4.37,36.72,35.7,35.16,36.0,0.94,2.94
603376,大明电子,上交所,沪市主板,汽车零部件,浙江板块,"次新股,无人驾驶,新能源车",31.27,0.61,61611935.0,4.09,31.73,31.08,30.46,30.9,1.29,6.2
603380,易德龙,上交所,沪市主板,消费电子,江苏板块,"医疗器械概念,5G概念,新能源车,数据中心,机器人概念,通信技术",37.46,1.24,131271611.0,3.03,37.82,37.0,36.7,36.97,0.99,2.18
603383,顶点软件,上交所,沪市主板,软件开发,福建板块,"互联网金融,国产软件,AI智能体,区块链,知识产权,数字经济,信创,数据确权,数据要素",33.16,-0.06,187219301.0,2.44,33.42,33.18,32.61,33.05,0.78,2.77
603396,金辰股份,上交所,沪市主板,光伏设备,辽宁板块,"光伏概念,HJT电池,TOPCon电池",37.65,1.02,141069687.0,2.12,37.88,37.27,37.09,37.49,0.71,2.71
603406,天富龙,上交所,沪市主板,化学纤维,江苏板块,"节能环保,次新股,参股银行,婴童概念",35.24,1.06,82333739.0,2.52,35.39,34.87,34.51,34.88,1.83,6.41
603489,八方股份,上交所,沪市主板,电机Ⅱ,江苏板块,"共享经济,轮毂电机",39.39,-1.72,282174161.0,4.02,40.46,40.08,38.85,39.42,1.04,3.04
603496,恒为科技,上交所,沪市主板,计算机设备,上海板块,"互联网服务,智能电网,国产软件,5G概念,华为概念,数字孪生,数据安全,机器人概念,信创,算力概念,新型工业化,通信技术",31.94,3.03,747152836.0,5.13,32.2,31.0,30.61,30.85,0.99,7.39
603556,海兴电力,上交所,沪市主板,电网设备,浙江板块,"物联网,智能电网,充电桩,一带一路,电网概念",30.11,0.74,167462102.0,2.31,30.45,29.89,29.76,29.89,0.81,1.14
603590,康辰药业,上交所,沪市主板,生物制品,北京板块,"创投,单抗概念,创新药,病原体防治",36.27,-1.41,93619549.0,2.23,36.85,36.79,36.03,36.79,0.69,1.63
603596,伯特利,上交所,沪市主板,汽车零部件,安徽板块,"创投,无人驾驶,新能源车,飞行汽车(eVTOL),人形机器人",32.86,2.11,613486815.0,4.57,33.17,32.18,31.7,31.91,1.36,2.1
603618,杭电股份,上交所,沪市主板,电网设备,浙江板块,"锂电池概念,风能,石墨烯,5G概念,特高压,碳交易,抽水蓄能,光通信模块,电网概念,电池技术,通信技术,光纤概念",39.43,-2.52,4021333142.0,6.13,41.24,40.45,38.76,38.76,1.21,14.54
603657,春光科技,上交所,沪市主板,家电零部件Ⅱ,浙江板块,小米概念,30.27,-8.96,261576224.0,8.78,32.92,33.25,30.0,32.92,1.37,6.25
603658,安图生物,上交所,沪市主板,医疗器械,河南板块,"医疗器械概念,体外诊断概念,精准诊断",34.41,-0.81,75935953.0,1.67,34.84,34.69,34.26,34.6,0.75,0.39
603659,璞泰来,上交所,沪市主板,电池,上海板块,"锂电池概念,长江三角,特斯拉概念,新能源车,固态电池,储能概念,PVDF概念,复合集流体,电池技术",33.29,0.18,1521548259.0,1.66,33.35,33.23,32.8,33.0,0.66,2.15
603665,康隆达,上交所,沪市主板,服装家纺,浙江板块,"锂电池概念,医疗器械概念,电池技术",30.71,-0.16,93203324.0,2.31,31.22,30.76,30.51,30.76,0.76,1.88
603666,亿嘉和,上交所,沪市主板,自动化设备,江苏板块,"智能电网,养老概念,充电桩,无人机,华为概念,机器人概念,ChatGPT概念,多模态AI,低空经济,人形机器人,DeepSeek概念,腾讯云,电网概念",30.39,0.36,153112849.0,3.93,30.87,30.28,29.68,30.16,0.87,2.46
603678,火炬电子,上交所,沪市主板,军工电子Ⅱ,福建板块,"军工,创投,新材料,核能核电,5G概念,军民融合,小米概念,MLCC,半导体概念,商业航天,被动元件概念,通信技术",34.19,1.36,362859400.0,3.02,34.4,33.73,33.38,33.65,0.9,2.24
603685,晨丰科技,上交所,沪市主板,光学光电子,浙江板块,"LED概念,光伏概念,风能,PCB,绿色电力",34.34,-1.77,159828004.0,4.63,35.9,34.96,34.28,35.5,1.08,2.27
603722,阿科力,上交所,沪市主板,化学制品,江苏板块,"新材料,燃料电池概念,虚拟现实,电池技术",39.03,0.13,33955796.0,1.72,39.46,38.98,38.79,38.98,0.6,0.91
603813,*ST原尚,上交所,沪市主板,物流,广东板块,"燃料电池概念,氢能源,电池技术",36.82,-3.05,37786691.0,6.37,38.5,37.98,36.08,36.08,1.04,0.98
603816,顾家家居,上交所,沪市主板,家居用品,浙江板块,"电商概念,智能家居",32.2,-2.9,184989628.0,4.25,33.43,33.16,32.02,32.94,0.56,0.7
603826,坤彩科技,上交所,沪市主板,非金属材料Ⅱ,福建板块,"新材料,锂电池概念,钛白粉概念,电池技术",37.68,4.96,613927857.0,7.19,37.68,35.9,35.1,35.91,1.51,2.53
603860,中公高科,上交所,沪市主板,工程咨询服务Ⅱ,北京板块,"大数据,央国企改革,微盘股",32.25,-0.59,33829522.0,1.57,32.53,32.44,32.02,32.43,0.72,1.57
603867,新化股份,上交所,沪市主板,化学制品,浙江板块,化工原料,38.02,1.96,300094819.0,4.34,38.3,37.29,36.68,37.25,1.07,3.68
603868,飞科电器,上交所,沪市主板,小家电,上海板块,,38.06,0.03,69933739.0,2.86,38.49,38.05,37.4,38.0,0.54,0.42
603895,天永智能,上交所,沪市主板,专用设备,上海板块,"锂电池概念,人工智能,数字孪生,新能源车,固态电池,华为汽车,钠离子电池,储能概念,机器人概念,新型工业化,电池技术",38.08,4.33,326019770.0,10.11,38.89,36.5,35.2,36.5,2.07,7.97
603978,深圳新星,上交所,沪市主板,金属新材料,广东板块,"新材料,深圳特区,锂电池概念,氟化工概念,军民融合,PVDF概念,电池技术",31.68,0.8,642185731.0,3.88,32.18,31.43,30.96,31.38,0.7,9.67
603992,松霖科技,上交所,沪市主板,家居用品,福建板块,"智能家居,C2M概念,机器人概念",32.66,-0.79,117190135.0,2.64,33.06,32.92,32.19,32.88,0.9,0.81
605058,澳弘电子,上交所,沪市主板,元件,江苏板块,"一带一路,工业互联,PCB,新能源车,卫星互联网,商业航天,新型工业化",39.7,2.72,194975512.0,6.57,40.4,38.65,37.86,38.5,1.13,3.48
605086,龙高股份,上交所,沪市主板,非金属材料Ⅱ,福建板块,"稀缺资源,央国企改革,资源开采概念",31.88,-3.16,168557666.0,4.8,33.3,32.92,31.72,32.71,1.18,2.9
605088,冠盛股份,上交所,沪市主板,汽车零部件,浙江板块,"锂电池概念,贬值受益,新能源车,固态电池,华为汽车,储能概念,机器人概念,人形机器人,电池技术",37.85,-0.86,169792041.0,2.41,38.68,38.18,37.76,38.18,0.87,2.23
605128,上海沿浦,上交所,沪市主板,汽车零部件,上海板块,华为汽车,33.9,-1.65,153924992.0,4.0,34.47,34.47,33.09,34.47,1.0,2.17
605133,嵘泰股份,上交所,沪市主板,汽车零部件,江苏板块,"特斯拉概念,新能源车,工业母机,机器人概念",39.3,0.87,400686126.0,2.31,39.66,38.96,38.76,38.95,0.65,3.62
605258,协和电子,上交所,沪市主板,元件,江苏板块,PCB,38.43,0.58,143746549.0,2.62,38.91,38.21,37.91,37.93,0.77,4.24
605488,福莱新材,上交所,沪市主板,塑料,浙江板块,"节能环保,新材料,智能穿戴,苹果概念,一带一路,华为概念,传感器,降解塑料,无线充电,机器人概念,AI手机,人形机器人,消费电子概念",35.54,-1.71,245867156.0,2.54,35.97,36.16,35.05,35.97,0.68,2.51
605566,福莱蒽特,上交所,沪市主板,化学制品,浙江板块,光伏概念,35.6,2.3,296136666.0,5.34,36.1,34.8,34.24,34.8,1.41,6.29
920003,中诚咨询,北交所,北交所,工程咨询服务Ⅱ,江苏板块,次新股,32.07,0.03,18976795.98,1.37,32.43,32.06,31.99,32.43,0.69,4.44
920005,鼎佳精密,北交所,北交所,消费电子,江苏板块,"次新股,汽车热管理,AI眼镜",35.68,0.08,11862518.18,1.71,35.81,35.65,35.2,35.81,0.9,1.55
920018,宏远股份,北交所,北交所,电网设备,辽宁板块,"次新股,新能源车,特高压,电网概念",30.65,1.36,104967423.48,5.52,31.47,30.24,29.8,30.0,1.85,7.71
920026,卓兆点胶,北交所,北交所,专用设备,江苏板块,"光伏概念,苹果概念,新能源车,半导体概念,机器人概念,AI眼镜",35.75,0.14,22037267.71,3.08,35.98,35.7,34.88,35.7,0.63,1.0
920035,精创电气,北交所,北交所,自动化设备,江苏板块,"次新股,冷链物流",32.27,1.38,39567014.82,4.05,32.32,31.83,31.03,31.7,0.77,7.97
920046,亿能电力,北交所,北交所,电网设备,江苏板块,储能概念,34.25,7.98,609155212.4,22.1,38.0,31.72,30.99,31.0,1.6,31.41
920047,诺思兰德,北交所,北交所,生物制品,北京板块,"重组蛋白,创新药",32.87,1.76,240659109.23,10.37,33.68,32.3,30.33,32.0,1.44,4.23
920050,爱舍伦,北交所,北交所,医疗器械,江苏板块,"次新股,医疗器械概念",33.79,-0.44,21491777.34,2.77,34.3,33.94,33.36,34.3,0.86,3.53
920055,隆源股份,北交所,北交所,汽车零部件,浙江板块,"次新股,特斯拉概念,新能源车,小米汽车",37.6,-1.18,59041706.72,2.29,37.96,38.05,37.09,37.6,0.56,10.3
920060,万源通,北交所,北交所,元件,江苏板块,"特斯拉概念,无人驾驶,PCB,新能源车,汽车热管理,机器人概念,光通信模块,AIPC,通信技术",34.28,3.1,229114820.08,4.9,35.18,33.25,33.55,33.8,1.59,7.01
920078,族兴新材,北交所,北交所,金属新材料,湖南板块,"次新股,新材料,华为汽车",34.26,1.12,273697158.47,15.53,37.26,33.88,32.0,33.0,0.99,37.78
920086,科马材料,北交所,北交所,汽车零部件,浙江板块,"次新股,一带一路,新能源车,华为汽车",33.11,-2.36,106471230.67,4.92,34.26,33.91,32.59,34.24,1.12,12.07
920092,汉鑫科技,北交所,北交所,IT服务Ⅱ,山东板块,"智慧城市,人工智能,无人驾驶,工业互联,互联医疗,华为概念,智慧政务,车联网(车路云),东数西算,信创,算力概念,财税数字化,AI应用",31.1,3.32,43385806.87,6.25,31.49,30.1,29.61,30.1,1.08,4.29
920101,志高机械,北交所,北交所,工程机械,浙江板块,"次新股,一带一路,中俄贸易概念",35.34,0.54,11502009.97,1.65,35.6,35.15,35.02,35.12,0.63,1.17
920110,雷特科技,北交所,北交所,其他电源设备Ⅱ,广东板块,"LED概念,智能家居",32.54,0.93,6401001.35,2.82,32.76,32.24,31.85,31.98,1.07,1.22
920111,聚星科技,北交所,北交所,电网设备,浙江板块,"充电桩,新能源车,储能概念",35.25,-0.79,282175907.25,5.46,35.8,35.53,33.86,35.45,0.74,10.77
920112,巴兰仕,北交所,北交所,专用设备,上海板块,"次新股,贬值受益",33.18,0.45,4628532.69,1.0,33.35,33.03,33.02,33.21,0.41,0.6
920121,江天科技,北交所,北交所,包装印刷,江苏板块,"造纸印刷,次新股",38.2,-0.26,13338758.94,1.54,38.53,38.3,37.94,38.04,0.67,2.95
920177,恒道科技,北交所,北交所,通用设备,浙江板块,"次新股,新能源车",36.12,-4.27,97192973.05,3.02,37.0,37.73,35.86,37.0,0.82,22.82
920187,通领科技,北交所,北交所,汽车零部件,上海板块,"次新股,新能源车,新型工业化",36.58,-0.84,28735958.51,3.25,37.33,36.89,36.13,37.33,0.74,3.44
920199,倍益康,北交所,北交所,小家电,四川板块,"西部大开发,医疗器械概念,鸿蒙概念,机器人概念,谷子经济",33.8,0.72,29236520.72,2.98,34.3,33.56,33.3,33.49,0.68,2.28
920239,长虹能源,北交所,北交所,电池,四川板块,"锂电池概念,西部大开发,央国企改革,固态电池,人形机器人,电池技术",30.22,0.47,52463246.77,2.13,30.48,30.08,29.84,30.08,0.79,0.97
